
JAGDVERPACHTUNG|lemma idGJ00249.GJ00249 | f.|gram idGJ00249.GJ00249 |
JAGDVERWALTUNG|lemma idGJ00250.GJ00250 | f.|gram idGJ00250.GJ00250 |
JAGDVOGEL|lemma idGJ00251.GJ00251 | m.|gram idGJ00251.GJ00251 |
JAGDVOGT|lemma idGJ00252.GJ00252 | m.|gram idGJ00252.GJ00252 |
JAGDVOLK|lemma idGJ00253.GJ00253 | n.|gram idGJ00253.GJ00253 |
JAGDVORSTAND|lemma idGJ00254.GJ00254 | m.|gram idGJ00254.GJ00254 |
JAGDWAFFE|lemma idGJ00255.GJ00255 | f.|gram idGJ00255.GJ00255 |
JAGDWAGEN|lemma idGJ00256.GJ00256 | m.|gram idGJ00256.GJ00256 |
JAGDWAGNER|lemma idGJ00257.GJ00257 | m.|gram idGJ00257.GJ00257 |
JAGDWANDERUNG|lemma idGJ00258.GJ00258 | f.|gram idGJ00258.GJ00258 |
JAGDWESEN|lemma idGJ00259.GJ00259 | n.|gram idGJ00259.GJ00259 |
JAGDWORT|lemma idGJ00260.GJ00260 | n.|gram idGJ00260.GJ00260 |
JAGDWUTH|lemma idGJ00261.GJ00261 | f.|gram idGJ00261.GJ00261 |
JAGDZAPFEN|lemma idGJ00262.GJ00262 | m.|gram idGJ00262.GJ00262 |
JAGDZEIT|lemma idGJ00263.GJ00263 | f.|gram idGJ00263.GJ00263 |
JAGDZEITUNG|lemma idGJ00264.GJ00264 | f.|gram idGJ00264.GJ00264 |
JAGDZELT|lemma idGJ00265.GJ00265 | n.|gram idGJ00265.GJ00265 |
JAGDZEUG|lemma idGJ00266.GJ00266 | n.|gram idGJ00266.GJ00266 |
JAGDZEUGHAUS|lemma idGJ00267.GJ00267 | n.|gram idGJ00267.GJ00267 |
JAGDZEUGMEISTER|lemma idGJ00268.GJ00268 | m.|gram idGJ00268.GJ00268 |
JAGDZEUGSAAL|lemma idGJ00269.GJ00269 | m.|gram idGJ00269.GJ00269 |
JAGDZEUGWAGEN|lemma idGJ00270.GJ00270 | m.|gram idGJ00270.GJ00270 |
JAGDZINKEN|lemma idGJ00271.GJ00271 | m.|gram idGJ00271.GJ00271 |
JAGDZUCHT|lemma idGJ00272.GJ00272 | f.|gram idGJ00272.GJ00272 |
JAGDZÜCHTER|lemma idGJ00273.GJ00273 | m.|gram idGJ00273.GJ00273 |
JAGDZUG|lemma idGJ00274.GJ00274 | m.|gram idGJ00274.GJ00274 |
JÄGELN|lemma idGJ00275.GJ00275 | verb.|gram idGJ00275.GJ00275 |
JAGEN|lemma idGJ00276.GJ00276 | verb.|gram idGJ00276.GJ00276 |
JAGEN|lemma idGJ00277.GJ00277 | n.|gram idGJ00277.GJ00277 |
JAGENFEIND|lemma idGJ00278.GJ00278 | m.|gram idGJ00278.GJ00278 |
JAGENSRUNDUNG|lemma idGJ00279.GJ00279 | f.|gram idGJ00279.GJ00279 |
JAGENTEUFEL|lemma idGJ00280.GJ00280 | m.|gram idGJ00280.GJ00280 |
JAGER|lemma idGJ00281.GJ00281 | m.|gram idGJ00281.GJ00281 |
JÄGER|lemma idGJ00282.GJ00282 | m.|gram idGJ00282.GJ00282 |
