
U|lemma idGU00001.GU00001 |
ÜBERBRECHEN|lemma idGU00274.GU00274 | v.|gram idGU00274.GU00274 |
ÜBERBREIT|lemma idGU00275.GU00275 | adj.|gram idGU00275.GU00275 |
ÜBERBREITEN|lemma idGU00276.GU00276 | v.|gram idGU00276.GU00276 |
ÜBERBRENNEN|lemma idGU00277.GU00277 | v.|gram idGU00277.GU00277 |
ÜBERBRETT|lemma idGU00278.GU00278 | n.|gram idGU00278.GU00278 |
ÜBERBRETTL|lemma idGU00279.GU00279 | n.|gram idGU00279.GU00279 |
ÜBERBRINGEN|lemma idGU00280.GU00280 | v.|gram idGU00280.GU00280 |
ÜBERBRINGER|lemma idGU00281.GU00281 | m.|gram idGU00281.GU00281 |
ÜBERBRINGUNG|lemma idGU00282.GU00282 | f.|gram idGU00282.GU00282 |
ÜBERBRUCH|lemma idGU00283.GU00283 | m.|gram idGU00283.GU00283 |

ÜBERBRÜCKE|lemma idGU00284.GU00284 | f.|gram idGU00284.GU00284 |
ÜBERBRÜCKEN|lemma idGU00285.GU00285 | v.|gram idGU00285.GU00285 |
ÜBERBRÜCKUNG|lemma idGU00286.GU00286 | f.|gram idGU00286.GU00286 |
ÜBERBRÜHEN|lemma idGU00287.GU00287 | v.|gram idGU00287.GU00287 |
ÜBERBRÜLLEN|lemma idGU00288.GU00288 | v.|gram idGU00288.GU00288 |
ÜBERBRÜTEN|lemma idGU00289.GU00289 | v.|gram idGU00289.GU00289 |
ÜBERBÜCKEN|lemma idGU00290.GU00290 | v.|gram idGU00290.GU00290 |
ÜBERBÜGELN|lemma idGU00291.GU00291 | v.|gram idGU00291.GU00291 |
ÜBERBUND|lemma idGU00292.GU00292 | m.|gram idGU00292.GU00292 |
ÜBERBUNT|lemma idGU00293.GU00293 | adj.|gram idGU00293.GU00293 |
ÜBERBÜRDE|lemma idGU00294.GU00294 | f.|gram idGU00294.GU00294 |
ÜBERBÜRDEN|lemma idGU00295.GU00295 | v.|gram idGU00295.GU00295 |
ÜBERBÜRDIG|lemma idGU00296.GU00296 | adj.|gram idGU00296.GU00296 |
ÜBERBÜRDLICH|lemma idGU00297.GU00297 | adj.|gram idGU00297.GU00297 |
ÜBERBÜRDUNG|lemma idGU00298.GU00298 | f.|gram idGU00298.GU00298 |
ÜBERBÜRGERN|lemma idGU00299.GU00299 | v.|gram idGU00299.GU00299 |
ÜBERBÜRSTEN|lemma idGU00300.GU00300 | v.|gram idGU00300.GU00300 |
ÜBERBURZEN|lemma idGU00301.GU00301 |ÜBERBÜRZEN|variant idGU00301.GU00301 |ÜBERBURZELN|variant idGU00301.GU00301 |ÜBERPURZELN|variant idGU00301.GU00301 |ÜBERBÜRZELN|variant idGU00301.GU00301 | v.|gram idGU00301.GU00301 |
ÜBERBUSCHEN|lemma idGU00302.GU00302 | v.|gram idGU00302.GU00302 |
ÜBERBUSZE|lemma idGU00303.GU00303 | f.|gram idGU00303.GU00303 |
ÜBERBÜSZEN|lemma idGU00304.GU00304 | v.|gram idGU00304.GU00304 |
